Repository Name,Annotation Name,Annotation Member Name,Assigned Value (in Our Sample),Wrongly Designed as String Type?
Teradata/kylo,com.thinkbiganalytics.policy.PolicyProperty,labelValues,TRUE,no
nysenate/OpenLegislation,gov.nysenate.openleg.controller.api.bill.RequestParam,defaultValue,FALSE,no
OneBusAway/onebusaway-application-modules,org.apache.struts2.convention.annotation.Result,params,TRUE,no
wso2/msf4j,io.swagger.annotations.Info,version,1,no
apache/parquet-mr,com.beust.jcommander.Parameter,names,-2,no
pravega/pravega,io.pravega.controller.task.Task,version,1,no
rhuss/jolokia,org.jolokia.roo.CliOption,specifiedDefaultValue,TRUE,no
rakam-io/rakam,org.rakam.util.ConditionalModule,value,TRUE,no
spotify/heroic,com.fasterxml.jackson.annotation.JsonTypeName,value,FALSE,no
restx/restx,restx.config.SettingsKey,defaultValue,TRUE,no
jphp-compiler/jphp,php.runtime.ext.core.classes.lib.Signature,value,FALSE,no
shuzheng/zheng,com.zheng.cms.web.controller.RequestParam,defaultValue,1,no
cincheo/jsweet,jsweet.lang.StringType,value,2d,no
aosp-mirror/platform_frameworks_base,ViewDebug.IntToString,to,TRUE,no
JetBrains/intellij-community,com.intellij.util.xmlb.annotations.Tag,textIfEmpty,TRUE,no
OpenNMS/opennms,org.opennms.netmgt.measurements.api.FilterParam,value,TRUE,no
OpenNMS/opennms,javax.xml.bind.annotation.XmlElement,defaultValue,FALSE,no
apache/camel,org.apache.camel.spi.UriParam,defaultValue,1000,no
apache/camel,com.fasterxml.jackson.annotation.JsonProperty,defaultValue,FALSE,no
apache/camel,org.apache.camel.spi.UriEndpoint,firstVersion,1,no
javaee/glassfish,com.sun.jsftemplating.annotation.Handler,input,TRUE,no
apache/felix,aQute.bnd.annotation.Version,value,1,no
mulesoft/mule,org.mule.runtime.extension.api.annotation.param.Optional,defaultValue,1000,no
h2oai/h2o-3,hex.pca.Param,value,1,no
h2oai/h2o-3,water.mojo.glm.Param,value,1000,no
kohsuke/jenkins,hudson.RestrictedSince,value,2.12,no
apache/usergrid,org.safehaus.guicyfig.Default,value,10000,no
apache/poi,org.apache.poi.xssf.streaming.Removal,version,4.2,no
ankidroid/Anki-Android,org.acra.annotation.ReportsCrashes,logcatArguments,100,no
Netflix/governator,com.netflix.archaius.api.annotations.DefaultValue,value,8080,no
mulesoft-labs/raml-for-jax-rs,org.raml.jaxrs.common.Example,value,1,no
JetBrains/intellij-community,org.jetbrains.idea.svn.Tag,textIfEmpty,TRUE,no
apache/tomee,javax.ejb.Schedule,dayOfMonth,1,x
apache/tomee,javax.ejb.Schedule,minute,30,x
apache/flink,org.apache.flink.api.java.functions.FunctionAnnotation.ForwardedFieldsFirst,value,0,x
jamesagnew/hapi-fhir,ca.uhn.fhir.spring.boot.autoconfigure.ConditionalOnProperty,havingValue,FALSE,x
NoCheatPlus/NoCheatPlus,fr.neatmonster.nocheatplus.components.registry.order.RegistrationOrder.RegisterWithOrder,basePriority,-80,x
graalvm/graal,com.oracle.truffle.api.dsl.Specialization,limit,4,x
findbugsproject/findbugs,javax.jdo.annotations.Element,dependent,TRUE,x
apache/cxf,io.swagger.v3.oas.annotations.responses.ApiResponse,responseCode,200,x
JetBrains/intellij-community,com.intellij.ui.Colored,darkVariant,494539,x
apache/hadoop,io.swagger.annotations.ApiModelProperty,example,2,x
liferay/liferay-portal,com.liferay.dynamic.data.mapping.annotations.DDMForm,rules,TRUE,x
